,open,high,low,close,volume
2018-07-18,1.1000,1.5000,1.1000,1.5000,1100
2018-07-19,1.6000,1.7500,1.6000,1.7500,600
2018-07-20,2.0000,2.0000,1.7500,1.8700,1600
2018-07-23,2.0000,5.0000,2.0000,2.8000,9165
2018-07-24,4.0000,4.6500,2.7400,2.8600,2491
2018-07-25,2.8600,2.8600,2.8600,2.8600,0
2018-07-26,2.7500,2.7700,2.7500,2.7700,2400
2018-07-27,2.8800,2.8800,2.7000,2.7000,1454
2018-07-30,2.7000,2.7000,2.7000,2.7000,325
2018-07-31,2.7250,2.7250,2.7000,2.7000,740
2018-08-01,2.7100,2.7100,2.7000,2.7000,1102
2018-08-02,2.7500,2.8200,2.7000,2.8200,3278
2018-08-03,2.8200,2.8800,2.8200,2.8800,520
2018-08-06,2.8800,2.8800,2.8800,2.8800,5300
2018-08-07,2.8800,2.8800,2.8800,2.8800,0
2018-08-08,2.8800,2.8800,2.8800,2.8800,0
2018-08-09,2.8800,2.8800,2.8800,2.8800,0
2018-08-10,2.8800,2.8800,2.8800,2.8800,95
2018-08-13,2.8800,2.8800,2.8800,2.8800,0
2018-08-14,2.8800,2.8800,2.8800,2.8800,0
2018-08-15,2.8800,2.8800,2.8800,2.8800,0
2018-08-16,2.8800,2.8800,2.8800,2.8800,0
2018-08-17,2.8800,2.8800,2.8800,2.8800,0
2018-08-20,2.8800,2.8800,2.8800,2.8800,0
2018-08-21,2.8800,2.8800,2.8800,2.8800,0
2018-08-22,2.8800,2.8800,2.8800,2.8800,0
2018-08-23,2.0100,2.8000,2.0100,2.8000,200
2018-08-24,2.8000,2.8000,2.8000,2.8000,22
2018-08-27,2.8000,2.8000,2.8000,2.8000,0
2018-08-28,2.8000,2.8000,2.8000,2.8000,0
2018-08-29,2.8000,2.8000,2.8000,2.8000,0
2018-08-30,2.7000,2.7000,2.7000,2.7000,151
2018-08-31,2.7000,2.7000,2.0100,2.7000,999
2018-09-04,2.7000,2.7000,2.7000,2.7000,0
2018-09-05,2.7000,2.7000,2.7000,2.7000,0
2018-09-06,2.7000,2.7000,2.7000,2.7000,0
2018-09-07,2.7000,2.7000,2.7000,2.7000,0
2018-09-10,2.6900,2.6900,2.6900,2.6900,100
2018-09-11,2.6900,2.6900,2.6900,2.6900,0
2018-09-12,2.6900,2.6900,2.6900,2.6900,0
2018-09-13,2.6900,2.6900,2.6900,2.6900,16
2018-09-14,2.6900,2.6900,2.6900,2.6900,0
2018-09-17,2.1500,2.7000,2.1500,2.7000,15150
2018-09-18,2.7000,2.7000,2.7000,2.7000,0
2018-09-19,2.7000,2.7000,2.7000,2.7000,0
2018-09-20,2.7000,2.7000,2.7000,2.7000,0
2018-09-21,2.7000,2.7000,2.7000,2.7000,100
2018-09-24,2.7000,2.7000,2.7000,2.7000,0
2018-09-25,2.7000,2.7000,2.7000,2.7000,0
2018-09-26,2.7000,2.7000,2.7000,2.7000,0
2018-09-27,2.7000,2.7000,2.7000,2.7000,0
2018-09-28,2.7000,2.7000,2.7000,2.7000,0
2018-10-01,2.7000,2.7000,2.7000,2.7000,0
2018-10-02,2.7000,2.7000,2.7000,2.7000,0
2018-10-03,2.7000,2.7000,2.7000,2.7000,0
2018-10-04,2.7000,2.7000,2.7000,2.7000,0
2018-10-05,2.7000,2.7000,2.7000,2.7000,0
2018-10-08,2.7000,2.7000,2.7000,2.7000,0
2018-10-09,2.7000,2.7000,2.7000,2.7000,0
2018-10-10,2.7000,2.7000,2.7000,2.7000,0
2018-10-11,2.7000,2.7000,2.7000,2.7000,0
2018-10-12,2.7000,2.7000,2.7000,2.7000,0
2018-10-15,2.7000,2.7000,2.7000,2.7000,0
2018-10-16,2.7000,4.0000,2.7000,3.2000,1385
2018-10-17,3.2000,3.2000,3.2000,3.2000,0
2018-10-18,3.2000,3.2000,3.2000,3.2000,401
2018-10-19,3.2000,3.2000,3.2000,3.2000,179
2018-10-22,3.2500,3.2500,3.2500,3.2500,100
2018-10-23,3.2500,3.2500,3.2500,3.2500,0
2018-10-24,3.2500,3.2500,3.2500,3.2500,0
2018-10-25,3.2000,3.2000,3.2000,3.2000,400
2018-10-26,3.2000,3.2000,3.2000,3.2000,0
2018-10-29,3.4500,4.2500,3.4500,4.2500,2624
2018-10-30,4.2500,4.2500,4.2500,4.2500,520
2018-10-31,3.0000,3.4900,3.0000,3.4900,350
2018-11-01,3.4900,3.4900,3.4900,3.4900,0
2018-11-02,3.4900,3.4900,3.4900,3.4900,70
2018-11-05,3.4900,3.4900,3.4900,3.4900,0
2018-11-06,3.4900,3.4900,3.4900,3.4900,70
2018-11-07,3.4900,3.4900,3.4900,3.4900,0
2018-11-08,3.4900,3.4900,3.4900,3.4900,0
2018-11-09,2.5000,2.6000,2.2500,2.6000,1712
2018-11-12,2.6000,2.6000,2.6000,2.6000,0
2018-11-13,2.4000,2.4000,2.3900,2.4000,10752
2018-11-14,2.4000,2.4000,2.3900,2.3900,400
2018-11-15,2.3900,2.3900,2.3900,2.3900,0
2018-11-16,2.4000,2.4000,2.4000,2.4000,400
2018-11-19,2.4000,2.4000,2.4000,2.4000,100
2018-11-20,2.4000,2.4000,2.4000,2.4000,0
2018-11-21,2.4000,2.4000,2.4000,2.4000,0
2018-11-26,2.4000,2.4000,2.4000,2.4000,200
2018-11-27,2.4000,2.4000,2.4000,2.4000,0
2018-11-28,2.4000,2.4000,2.4000,2.4000,0
2018-11-29,2.4000,2.4000,2.4000,2.4000,0
2018-11-30,2.4000,2.4000,2.4000,2.4000,0
2018-12-03,2.4000,2.4000,2.4000,2.4000,0
2018-12-04,2.4000,2.4000,2.4000,2.4000,0
2018-12-06,2.4000,2.4000,2.4000,2.4000,80
2018-12-07,2.4000,2.4000,2.4000,2.4000,0
2018-12-10,2.4000,2.4000,2.4000,2.4000,0
2018-12-11,2.4000,2.4000,2.4000,2.4000,0
2018-12-12,2.4000,2.4000,2.4000,2.4000,0
2018-12-13,2.4000,2.4000,2.4000,2.4000,205
2018-12-14,2.4000,2.6000,2.4000,2.6000,2386
2018-12-17,2.4000,2.4000,2.4000,2.4000,499
2018-12-18,2.6000,2.6000,2.5500,2.5500,400
2018-12-19,2.6000,2.6000,2.6000,2.6000,100
2018-12-20,2.6000,2.6000,2.6000,2.6000,0
2018-12-21,2.3800,2.4000,2.3800,2.4000,1499
2018-12-24,2.6000,2.7000,2.6000,2.7000,393
2018-12-26,2.7000,2.7000,2.7000,2.7000,0
2018-12-27,2.7000,2.7000,2.7000,2.7000,0
2018-12-31,2.6000,2.6000,2.6000,2.6000,100
2019-01-03,2.6000,2.6000,2.6000,2.6000,0
2019-01-04,2.5000,2.6000,2.5000,2.6000,2078
2019-01-07,2.6000,2.6000,2.6000,2.6000,192
2019-01-08,2.6000,2.6000,2.6000,2.6000,0
