,open,high,low,close,volume
2021-04-22,9.9000,9.9908,9.9000,9.9000,11800
2021-04-23,9.9200,9.9200,9.9000,9.9100,11618
2021-04-26,9.9100,9.9100,9.9100,9.9100,15
2021-04-27,9.9100,9.9100,9.9100,9.9100,9
2021-04-28,9.9100,9.9100,9.9000,9.9100,12011
2021-04-29,9.9300,9.9300,9.9300,9.9300,1057
2021-04-30,9.9100,9.9300,9.9000,9.9300,2175
2021-05-03,9.9300,9.9300,9.9300,9.9300,269
2021-05-04,9.9500,9.9500,9.9000,9.9000,14000
2021-05-05,9.9000,9.9000,9.9000,9.9000,6257
2021-05-06,9.9100,9.9100,9.9000,9.9000,20003
2021-05-07,9.9000,9.9100,9.9000,9.9000,18102
2021-05-10,9.9300,9.9300,9.9000,9.9000,6862
2021-05-11,9.8900,9.9000,9.8500,9.8500,340011
2021-05-12,9.8500,9.8500,9.8500,9.8500,30
2021-05-13,9.8500,9.8500,9.8500,9.8500,6
2021-05-14,9.8900,9.8900,9.8000,9.8000,7011
2021-05-17,9.8000,9.8000,9.8000,9.8000,10
2021-05-18,9.8000,9.8000,9.8000,9.8000,0
2021-05-19,9.8500,9.8500,9.8000,9.8000,1160
2021-05-20,9.8500,9.8500,9.7800,9.7800,1601
2021-05-21,9.9500,10.0400,9.7900,9.8000,9460
2021-05-24,9.8000,9.8000,9.8000,9.8000,0
2021-05-25,9.8100,10.0400,9.7700,9.8000,4650
2021-05-26,10.3900,10.3900,9.7900,9.7900,9616
2021-05-27,9.7900,9.7900,9.7500,9.7500,13317
2021-05-28,9.7600,9.7600,9.7500,9.7600,3529
2021-06-01,10.0500,10.0500,9.7100,9.7200,5383
2021-06-02,9.7800,9.7800,9.7663,9.7663,680
2021-06-03,9.8100,9.8100,9.8100,9.8100,105
2021-06-04,9.8188,9.9500,9.8100,9.8600,207805
2021-06-07,9.8200,9.8350,9.8000,9.8000,2610
2021-06-08,9.7500,9.7900,9.7500,9.7750,5369
2021-06-09,9.7750,9.8000,9.7750,9.8000,7625
2021-06-10,9.7800,9.8400,9.7400,9.8100,43162
2021-06-11,9.7400,9.7800,9.7300,9.7650,141147
2021-06-14,9.8000,9.8000,9.7500,9.7700,14357
2021-06-15,9.7600,9.7800,9.7600,9.7700,4372
2021-06-16,9.7700,9.8000,9.7700,9.7900,2611
2021-06-17,9.7900,9.8000,9.7500,9.7600,15203
2021-06-18,9.7700,9.7700,9.7500,9.7500,5092
2021-06-21,9.7600,9.7600,9.7400,9.7400,5438
2021-06-22,9.7700,9.7700,9.7300,9.7300,5308
2021-06-23,9.7800,9.7850,9.7700,9.7850,1633
2021-06-24,9.7600,9.7800,9.7600,9.7600,940
2021-06-25,9.7800,9.7800,9.7300,9.7400,33476
2021-06-28,9.7200,9.7300,9.7200,9.7300,188860
2021-06-29,9.7300,9.7500,9.7300,9.7500,16681
2021-06-30,9.7400,9.7400,9.7000,9.7100,12840
2021-07-01,9.7000,9.7125,9.7000,9.7125,903
2021-07-02,9.7000,9.7100,9.7000,9.7000,7825
2021-07-06,9.7000,9.7300,9.7000,9.7100,29436
2021-07-07,9.7000,9.7200,9.7000,9.7100,1348
2021-07-08,9.7100,9.7650,9.6700,9.7350,60964
2021-07-09,9.7000,9.7400,9.7000,9.7300,3132
2021-07-12,9.7700,9.7900,9.7700,9.7900,810
2021-07-13,9.7900,9.7900,9.7900,9.7900,100
2021-07-14,9.7900,9.7900,9.7900,9.7900,2
2021-07-15,9.7800,9.8400,9.7600,9.8000,9972
2021-07-16,9.8000,9.8000,9.8000,9.8000,0
2021-07-19,9.7800,9.8500,9.7200,9.7650,247832
2021-07-20,9.7300,9.7900,9.7200,9.7700,27233
2021-07-21,9.8500,9.8600,9.7850,9.8500,3266
2021-07-22,9.8700,9.8700,9.8100,9.8500,106540
2021-07-23,9.9100,9.9100,9.7600,9.7900,153301
2021-07-26,9.7700,9.7700,9.6400,9.6700,345400
2021-07-27,9.6700,9.7400,9.6700,9.7390,78764
2021-07-28,9.7100,9.7100,9.7100,9.7100,253
2021-07-29,9.7100,9.7385,9.7100,9.7385,520
2021-07-30,9.7100,9.7300,9.7000,9.7100,55366
2021-08-02,9.7400,9.7400,9.7100,9.7200,12423
2021-08-03,9.7200,9.7300,9.6600,9.6900,48491
2021-08-04,9.6850,9.6900,9.6850,9.6900,7338
2021-08-05,9.7100,9.7100,9.7100,9.7100,212
2021-08-06,9.7100,9.7100,9.7100,9.7100,5
2021-08-09,9.6500,9.6700,9.6500,9.6700,581
2021-08-10,9.6700,9.7000,9.6700,9.6800,5000
2021-08-11,9.6800,9.7000,9.6800,9.6900,2046
2021-08-12,9.6700,9.7300,9.6700,9.7300,8135
2021-08-13,9.7000,9.7300,9.6750,9.7050,282214
2021-08-16,9.6600,9.7300,9.6600,9.7000,70066
2021-08-17,9.6700,9.6800,9.6300,9.6800,24889
2021-08-18,9.6300,9.7100,9.6300,9.6900,3163
2021-08-19,9.6900,9.6900,9.6900,9.6900,314
2021-08-20,9.6900,9.6900,9.6900,9.6900,0
2021-08-23,9.6500,9.6750,9.6200,9.6350,11281
2021-08-24,9.6200,9.7000,9.6200,9.7000,43716
2021-08-25,9.6400,9.6900,9.6400,9.6900,1060
2021-08-26,9.6500,9.6800,9.6500,9.6800,303
2021-08-27,9.6500,9.6800,9.6200,9.6800,5971
2021-08-30,9.6500,9.7000,9.6500,9.7000,506
2021-08-31,9.6989,9.6989,9.6850,9.6850,202
2021-09-01,9.6850,9.6850,9.6850,9.6850,122
2021-09-02,9.6850,9.6850,9.6850,9.6850,2004
2021-09-03,9.6900,9.7300,9.6900,9.7300,63541
2021-09-07,9.6900,9.7300,9.6800,9.7300,15588
2021-09-08,9.6300,9.6300,9.6300,9.6300,214
2021-09-09,9.6300,9.7200,9.6300,9.7050,4999
2021-09-10,9.7100,9.7400,9.7100,9.7400,113422
2021-09-13,9.7400,9.7400,9.7400,9.7400,24
2021-09-14,9.7400,9.8000,9.7400,9.8000,39021
2021-09-15,9.7500,9.7500,9.7500,9.7500,328
2021-09-16,9.7300,9.7700,9.7300,9.7700,653
2021-09-17,9.7700,9.7800,9.7600,9.7800,1202335
2021-09-20,9.7900,9.7900,9.7000,9.7000,3819
2021-09-21,9.7373,9.7500,9.7100,9.7100,2426
2021-09-22,9.7900,9.7900,9.7500,9.7600,126019
2021-09-23,9.7000,9.7500,9.7000,9.7500,100402
2021-09-24,9.7100,9.7700,9.7100,9.7700,62503
2021-09-27,9.7700,9.7700,9.7700,9.7700,4
2021-09-28,9.7700,9.7700,9.7700,9.7700,46
2021-09-29,9.7700,9.7700,9.7700,9.7700,2
2021-09-30,9.7700,9.7700,9.7700,9.7700,71
2021-10-01,9.7500,9.7700,9.7500,9.7700,15080
2021-10-04,9.7200,9.7800,9.7200,9.7500,1720
2021-10-05,9.7500,9.7500,9.7500,9.7500,277
2021-10-06,9.8900,9.9250,9.8600,9.8600,9511267
2021-10-07,9.8900,9.9000,9.8500,9.8500,1231268
2021-10-08,9.8800,9.9000,9.8500,9.8500,1066227
2021-10-11,9.8900,9.9100,9.8600,9.8650,295436
2021-10-12,9.9000,9.9000,9.8600,9.8901,380480
2021-10-13,9.9000,9.9000,9.8500,9.8500,447931
2021-10-14,9.8900,9.8900,9.8500,9.8700,604573
2021-10-15,9.8900,9.8940,9.8500,9.8500,523685
2021-10-18,9.8700,9.9000,9.8601,9.8900,345742
2021-10-19,9.9900,10.1000,9.9100,10.0200,4377382
2021-10-20,10.0800,10.0800,9.9800,10.0200,1700868
2021-10-21,10.0500,10.0800,10.0300,10.0700,1675778
2021-10-22,10.1000,10.1000,10.0500,10.0750,613156
2021-10-25,10.0900,10.1000,10.0400,10.0500,698908
2021-10-26,10.0800,10.1499,10.0600,10.1300,1320763
2021-10-27,10.1500,10.3200,10.1150,10.3000,1601816
2021-10-28,10.3400,10.4900,10.2000,10.3000,804817
2021-10-29,10.3800,10.7400,10.3200,10.5200,1579265
2021-11-01,10.6700,10.7000,10.4100,10.5200,1184338
2021-11-02,10.6400,10.7400,10.2310,10.3100,692065
2021-11-03,10.3300,10.4000,10.2200,10.3800,470654
2021-11-04,10.4000,10.4650,10.2700,10.3300,589481
2021-11-05,10.4600,10.8300,10.3500,10.7500,2495506
2021-11-08,11.6000,11.6200,10.7500,10.9700,3292621
2021-11-09,11.1000,11.1900,10.6400,10.8400,1154132
2021-11-10,10.7900,10.8000,10.3600,10.4600,1247476
2021-11-11,10.5900,10.5900,10.3400,10.4100,558113
2021-11-12,10.4000,10.5500,10.3600,10.5500,706865
2021-11-15,10.6400,10.6900,10.4400,10.4400,968996
2021-11-16,10.5500,11.4800,10.4700,11.2200,4087427
2021-11-17,11.2200,12.1900,10.8200,11.8800,5352449
2021-11-18,12.3800,12.7500,11.6000,12.0500,5507337
2021-11-19,12.0500,12.0900,11.6100,11.8800,1246569
2021-11-22,11.8300,12.0000,11.2500,11.6200,1220869
2021-11-23,11.4500,11.5000,10.6500,11.0600,2080896
2021-11-24,10.9200,11.1700,10.8200,10.9500,441227
2021-11-26,10.7500,10.8900,10.4700,10.4900,821107
2021-11-29,10.6000,10.7500,10.4100,10.6700,640326
2021-11-30,10.6000,10.8000,10.5500,10.8000,529378
2021-12-01,10.8800,11.0100,10.3500,10.4700,755722
2021-12-02,10.4700,10.5600,10.3000,10.3900,867396
2021-12-03,10.5000,10.5000,10.1835,10.3100,999376
2021-12-06,10.3900,10.4700,10.2450,10.3900,399159
2021-12-07,10.5000,11.0200,10.3900,10.7800,916125
2021-12-08,10.8600,11.0200,10.7200,11.0000,862645
2021-12-09,10.9000,10.9896,10.5000,10.6100,277946
2021-12-10,10.7000,10.7800,10.5100,10.7300,317585
2021-12-13,10.8500,10.8500,10.3000,10.3600,819569
2021-12-14,10.4100,10.6300,10.2500,10.4600,431427
2021-12-15,10.4400,10.6400,10.3000,10.5300,322175
2021-12-16,10.6800,10.7000,10.3500,10.3700,296549
