,open,high,low,close,volume
2023-11-17,5.0000,6.3286,4.5000,5.2500,2056328
2023-11-20,4.9600,6.0000,4.7890,5.6600,1229255
2023-11-21,5.8400,6.5400,5.5000,5.5500,583603
2023-11-22,5.3700,5.6000,5.2100,5.2100,225445
2023-11-24,5.0900,5.2200,4.5000,4.6200,130197
2023-11-27,4.5600,4.9332,4.5400,4.5600,210162
2023-11-28,4.7500,4.9600,4.5400,4.6600,163963
2023-11-29,4.7400,4.7600,4.1900,4.1900,143048
2023-11-30,4.2100,4.4600,4.1500,4.2700,66869
2023-12-01,4.3700,4.7500,4.3200,4.4800,80404
2023-12-04,4.3200,5.2500,4.3200,5.0300,144477
2023-12-05,4.9400,5.2689,4.8300,4.9700,54740
2023-12-06,5.1500,5.2000,5.0000,5.0900,44521
2023-12-07,5.2500,5.3000,5.0100,5.1100,55457
2023-12-08,5.1700,5.2995,5.0000,5.0100,40703
2023-12-11,4.9900,5.1300,4.8300,4.9838,38739
2023-12-12,4.9500,4.9500,4.7700,4.7800,27308
2023-12-13,5.0000,5.0000,4.6900,4.8000,18565
2023-12-14,4.6900,4.9299,4.6900,4.7300,21062
2023-12-15,4.8200,4.9400,4.6800,4.7100,10312
2023-12-18,4.7300,5.0899,4.7000,4.8000,45694
2023-12-19,4.9000,5.0700,4.8500,5.0700,13763
2023-12-20,5.0900,5.0900,4.8200,4.9900,16091
2023-12-21,4.9000,5.8000,4.8000,5.5000,109137
2023-12-22,5.5500,5.7500,5.4100,5.6100,99912
2023-12-26,5.7500,6.2500,5.1200,5.4000,102286
2023-12-27,5.5300,6.0000,5.5300,5.8240,66630
2023-12-28,5.8900,6.1000,5.5450,5.9300,139362
2023-12-29,6.1900,6.1900,5.7200,5.9499,18452
2024-01-02,5.9700,6.1500,5.7000,6.0500,29839
2024-01-03,5.7481,6.1600,5.7481,6.0100,95364
2024-01-04,5.9800,6.1568,5.9000,5.9300,22497
2024-01-05,5.9500,6.5400,5.9500,6.4800,69258
2024-01-08,6.8200,7.3200,5.5500,6.2300,134419
2024-01-09,5.8600,6.7900,5.8300,6.6600,58616
2024-01-10,6.9000,7.8340,6.8609,7.7900,110736
2024-01-11,7.9500,8.5000,7.5105,7.9000,122996
2024-01-12,8.2900,8.4700,7.8200,8.0000,139967
2024-01-16,7.9600,8.0477,7.0100,7.4700,142902
2024-01-17,7.1800,7.8500,6.5000,7.7300,84878
2024-01-18,8.1600,8.1600,7.5400,7.9800,31497
2024-01-19,8.0900,8.1300,7.7600,7.8800,79358
2024-01-22,7.8600,9.8000,7.8600,9.8000,234196
2024-01-23,9.9300,11.1000,9.7100,11.1000,320562
2024-01-24,11.7100,12.2900,5.4000,7.5000,1071269
2024-01-25,7.3200,10.9827,7.3000,9.9000,447497
2024-01-26,8.5000,8.5000,2.8520,3.4700,7438186
2024-01-29,2.9100,3.1900,2.7400,2.8000,1859939
2024-01-30,2.6400,2.6400,2.1700,2.2400,2457986
2024-01-31,2.1500,2.4880,1.9000,2.2600,985831
2024-02-01,2.2800,2.3200,1.9300,2.0500,610042
2024-02-02,2.0500,2.0500,1.9200,1.9800,370127
2024-02-05,1.8600,1.9700,1.7500,1.8200,421833
2024-02-06,1.8600,2.1000,1.8300,2.0900,348983
2024-02-07,2.0900,2.1500,1.8000,1.8500,358880
2024-02-08,1.8500,1.9099,1.7500,1.8800,371122
2024-02-09,1.8500,1.9100,1.7900,1.8600,173933
2024-02-12,1.9700,2.0500,1.9000,2.0050,258205
2024-02-13,1.9800,2.0000,1.8600,1.8800,137455
2024-02-14,1.8600,1.9288,1.8400,1.9200,134742
2024-02-15,1.9400,1.9400,1.8000,1.8300,370050
2024-02-16,1.8500,1.8800,1.8000,1.8500,117000
2024-02-20,1.8900,1.9000,1.7000,1.7300,294025
2024-02-21,1.7500,1.7500,1.5500,1.5800,300464
2024-02-22,1.6600,1.6600,1.4650,1.4900,195737
2024-02-23,1.4800,1.4800,1.3112,1.3800,285655
2024-02-26,1.4000,1.6300,1.3800,1.6000,249038
2024-02-27,1.6000,1.8400,1.5600,1.7900,416728
2024-02-28,1.8300,1.8300,1.6100,1.6699,346848
2024-02-29,1.7100,1.7900,1.6300,1.6700,177865
2024-03-01,1.6400,1.7200,1.5200,1.5900,185151
2024-03-04,1.6000,1.6000,1.4700,1.5100,140286
2024-03-05,1.5400,1.5900,1.4700,1.5700,142088
2024-03-06,1.6200,1.6700,1.5200,1.5700,198390
2024-03-07,1.5600,1.5900,1.4300,1.5200,122705
