,open,high,low,close,volume,sma_20,ema_20,sma_50,ema_50,sma_200,ema_200,rsi,macd,macd_signal,macd_diff,bb_upper,bb_lower,bb_middle,stoch_k,stoch_d,stoch_j,adx,obv,ichimoku_a,ichimoku_b,rolling_std,fibo_0,fibo_0.382,fibo_0.5,fibo_0.618,fibo_1,atr,mfi
2018-07-18,1.1,1.5,1.1,1.5,1100,,,,,,,,,,,,,,,,,0.0,1100,,1.3,,0.1178,1.9064003999999999,2.4589,3.0113996,4.8,0.0,
2018-07-19,1.6,1.75,1.6,1.75,600,,,,,,,,,,,,,,,,,0.0,1700,,1.425,,0.1178,1.9064003999999999,2.4589,3.0113996,4.8,0.0,
2018-07-20,2.0,2.0,1.75,1.87,1600,,,,,,,,,,,,,,,,,0.0,3300,,1.55,,0.1178,1.9064003999999999,2.4589,3.0113996,4.8,0.0,
2018-07-23,2.0,5.0,2.0,2.8,9165,,,,,,,,,,,,,,,,,0.0,12465,,3.05,,0.1178,1.9064003999999999,2.4589,3.0113996,4.8,0.0,
2018-07-24,4.0,4.65,2.74,2.86,2491,,,,,,,,,,,,,,,,,0.0,14956,,3.05,,0.1178,1.9064003999999999,2.4589,3.0113996,4.8,0.0,
2018-07-25,2.86,2.86,2.86,2.86,0,,,,,,,,,,,,,,,,,0.0,14956,,3.05,,0.1178,1.9064003999999999,2.4589,3.0113996,4.8,0.0,
2018-07-26,2.75,2.77,2.75,2.77,2400,,,,,,,,,,,,,,,,,0.0,12556,,3.05,,0.1178,1.9064003999999999,2.4589,3.0113996,4.8,0.0,
2018-07-27,2.88,2.88,2.7,2.7,1454,,,,,,,,,,,,,,,,,0.0,11102,,3.05,,0.1178,1.9064003999999999,2.4589,3.0113996,4.8,0.0,
2018-07-30,2.7,2.7,2.7,2.7,325,,,,,,,,,,,,,,,,,0.0,11427,,3.05,,0.1178,1.9064003999999999,2.4589,3.0113996,4.8,0.0,
2018-07-31,2.725,2.725,2.7,2.7,740,,,,,,,,,,,,,,,,,0.0,12167,,3.05,,0.1178,1.9064003999999999,2.4589,3.0113996,4.8,0.0,
2018-08-01,2.71,2.71,2.7,2.7,1102,,,,,,,,,,,,,,,,,0.0,13269,,3.05,,0.1178,1.9064003999999999,2.4589,3.0113996,4.8,0.0,
2018-08-02,2.75,2.82,2.7,2.82,3278,,,,,,,,,,,,,,,,,0.0,16547,,3.05,,0.1178,1.9064003999999999,2.4589,3.0113996,4.8,0.0,
2018-08-03,2.82,2.88,2.82,2.88,520,,,,,,,,,,,,,,,,,0.0,17067,,3.05,,0.1178,1.9064003999999999,2.4589,3.0113996,4.8,0.0,
2018-08-06,2.88,2.88,2.88,2.88,5300,,,,,,,88.90746443616976,,,,,,,45.641025641025635,,,0.0,22367,,3.05,,0.1178,1.9064003999999999,2.4589,3.0113996,4.8,0.46035714285714274,82.90651323373929
2018-08-07,2.88,2.88,2.88,2.88,0,,,,,,,88.90746443616976,,,,,,,37.647058823529406,,,0.0,22367,,3.05,,0.1178,1.9064003999999999,2.4589,3.0113996,4.8,0.42747448979591823,82.90651323373929
2018-08-08,2.88,2.88,2.88,2.88,0,,,,,,,88.90746443616976,,,,,,,34.76923076923077,39.352438411261936,25.60281548516842,0.0,22367,,3.05,,0.1178,1.9064003999999999,2.4589,3.0113996,4.8,0.39694059766763834,82.69849645981023
2018-08-09,2.88,2.88,2.88,2.88,0,,,,,,,88.90746443616976,,,,,,,29.33333333333333,33.916540975364505,20.166918049270976,0.0,22367,,3.05,,0.1178,1.9064003999999999,2.4589,3.0113996,4.8,0.3685876978342356,82.05684164359027
2018-08-10,2.88,2.88,2.88,2.88,95,,,,,,,88.90746443616976,,,,,,,9.230769230769216,24.44444444444444,-21.19658119658123,0.0,22462,,3.05,,0.1178,1.9064003999999999,2.4589,3.0113996,4.8,0.3422600051317902,71.4988141222536
2018-08-13,2.88,2.88,2.88,2.88,0,,,,,,,88.90746443616976,,,,,,,100.0,46.18803418803418,207.62393162393164,0.0,22462,,3.05,,0.1178,1.9064003999999999,2.4589,3.0113996,4.8,0.31781286190809094,65.77371975303805
2018-08-14,2.88,2.88,2.88,2.88,0,2.6535,2.6066394526518755,,,,,88.90746443616976,,,,3.4693253489565032,1.8376746510434971,2.6535,100.0,69.74358974358974,160.51282051282053,0.0,22462,,3.05,0.4185095735558444,0.1178,1.9064003999999999,2.4589,3.0113996,4.8,0.29511194320037015,65.77371975303805
2018-08-15,2.88,2.88,2.88,2.88,0,2.7225,2.632673790494554,,,,,88.90746443616976,,,,3.347539998720082,2.0974600012799183,2.7225,100.0,100.0,100.0,0.0,22462,,3.05,0.3206387539370683,0.1178,1.9064003999999999,2.4589,3.0113996,4.8,0.274032518686058,77.97959323390924
2018-08-16,2.88,2.88,2.88,2.88,0,2.779,2.6562286675903106,,,,,88.90746443616976,,,,3.2191317984422394,2.3388682015577604,2.779,100.0,100.0,100.0,0.0,22462,,3.05,0.22578284863302214,0.1178,1.9064003999999999,2.4589,3.0113996,4.8,0.25445876735133954,87.84365617875574
2018-08-17,2.88,2.88,2.88,2.88,0,2.8295000000000003,2.6775402230578997,,,,,88.90746443616976,,,,2.9719745591325015,2.687025440867499,2.8295000000000003,100.0,100.0,100.0,0.0,22462,,3.05,0.07308790669641117,0.1178,1.9064003999999999,2.4589,3.0113996,4.8,0.23628314111195814,90.3425088586957
2018-08-20,2.88,2.88,2.88,2.88,0,2.8335,2.696822106576195,,,,,88.90746443616976,,,,2.976925939076586,2.690074060923414,2.8335,100.0,100.0,100.0,0.0,22462,,3.05,0.07357595431003074,0.1178,1.9064003999999999,2.4589,3.0113996,4.8,0.2194057738896754,89.67145710345184
2018-08-21,2.88,2.88,2.88,2.88,0,2.8345,2.7142676202356046,,,,,88.90746443616976,,,,2.9789264518708416,2.690073548129158,2.8345,100.0,100.0,100.0,0.0,22462,,3.05,0.07408920654397605,0.1178,1.9064003999999999,2.4589,3.0113996,4.8,0.20373393289755573,100.0
