,open,high,low,close,volume,sma_20,ema_20,sma_50,ema_50,sma_200,ema_200,rsi,macd,macd_signal,macd_diff,bb_upper,bb_lower,bb_middle,stoch_k,stoch_d,stoch_j,adx,obv,ichimoku_a,ichimoku_b,rolling_std,fibo_0,fibo_0.382,fibo_0.5,fibo_0.618,fibo_1,atr,mfi
1999-11-01,131.5,133.1,130.6,130.8,4840900,,,,,,,,,,,,,,,,,0.0,4840900,,131.85,,20.06,218.49372000000002,279.79,341.08628000000004,539.52,0.0,
1999-11-02,131.5,133.1,130.4,130.9,6417400,,,,,,,,,,,,,,,,,0.0,11258300,,131.75,,20.06,218.49372000000002,279.79,341.08628000000004,539.52,0.0,
1999-11-03,132.8,134.3,132.4,133.5,9376300,,,,,,,,,,,,,,,,,0.0,20634600,,132.35000000000002,,20.06,218.49372000000002,279.79,341.08628000000004,539.52,0.0,
1999-11-04,135.4,135.6,133.6,135.0,10024300,,,,,,,,,,,,,,,,,0.0,30658900,,133.0,,20.06,218.49372000000002,279.79,341.08628000000004,539.52,0.0,
1999-11-05,137.8,138.4,136.4,136.4,7567300,,,,,,,,,,,,,,,,,0.0,38226200,,134.4,,20.06,218.49372000000002,279.79,341.08628000000004,539.52,0.0,
1999-11-08,136.9,139.6,136.4,139.1,5445400,,,,,,,,,,,,,,,,,0.0,43671600,,135.0,,20.06,218.49372000000002,279.79,341.08628000000004,539.52,0.0,
1999-11-09,140.3,140.5,137.0,138.2,7314900,,,,,,,,,,,,,,,,,0.0,36356700,,135.45,,20.06,218.49372000000002,279.79,341.08628000000004,539.52,0.0,
1999-11-10,138.3,141.2,137.6,140.0,8280500,,,,,,,,,,,,,,,,,0.0,44637200,,135.8,,20.06,218.49372000000002,279.79,341.08628000000004,539.52,0.0,
1999-11-11,141.5,142.7,140.3,142.5,9250700,,,,,,,,,,,,,,,,,0.0,53887900,,136.55,,20.06,218.49372000000002,279.79,341.08628000000004,539.52,0.0,
1999-11-12,143.3,144.5,138.8,144.4,14323300,,,,,,,,,,,,,,,,,0.0,68211200,,137.45,,20.06,218.49372000000002,279.79,341.08628000000004,539.52,0.0,
1999-11-15,144.5,145.0,143.4,144.1,5454700,,,,,,,,,,,,,,,,,0.0,62756500,,137.7,,20.06,218.49372000000002,279.79,341.08628000000004,539.52,0.0,
1999-11-16,144.6,148.4,144.0,147.8,9563200,,,,,,,,,,,,,,,,,0.0,72319700,,139.4,,20.06,218.49372000000002,279.79,341.08628000000004,539.52,0.0,
1999-11-17,147.8,148.4,145.0,145.8,10841800,,,,,,,,,,,,,,,,,0.0,61477900,,139.4,,20.06,218.49372000000002,279.79,341.08628000000004,539.52,0.0,
